object,field,RA,DEC,radius_aper(pixel),uJava,F378,F395,F410,F430,gSDSS,F515,rSDSS,F660,iSDSS,F861,zSDSS,e_uJava,e_F378,e_F395,e_F410,e_F430,e_gSDSS,e_F515,e_rSDSS,e_F660,e_iSDSS,e_F861,e_zSDSS
OGLE-CL SMC 133,MC0095,15.630417,-72.31834,45.0,15.723570014859254,15.27465961638633,15.428114424864031,15.078486352794553,14.963667532774016,14.575065567408235,14.50457068256422,14.046285914436094,13.97229097610348,13.799473960444262,13.733403318663601,13.679305457872164,0.15723570014859253,0.1527465961638633,0.1542811442486403,0.15078486352794554,0.14963667532774017,0.14575065567408235,0.1450457068256422,0.14046285914436094,0.1397229097610348,0.1379947396044426,0.137334033186636,0.13679305457872165
HW40,MC0072,15.107083,-71.29417,50.0,16.7551686207382,16.317690537287053,16.242748041734792,15.779006360504226,15.58698722086617,15.146018970393635,15.011689431737388,14.568081104660823,14.530600684813894,14.33282670421585,14.270179863584191,14.230550818299786,0.167551686207382,0.16317690537287052,0.16242748041734792,0.15779006360504227,0.15586987220866172,0.15146018970393635,0.15011689431737388,0.14568081104660824,0.14530600684813894,0.1433282670421585,0.14270179863584193,0.14230550818299786
Cl Kron 11,MC0093,9.113333,-72.47833,59.99999999999999,16.254956110323537,15.834604132557077,15.837449427816106,15.225458061737115,15.180926354347768,14.753126352126563,14.622214160347156,14.247440683319729,14.17360842877352,14.03670979854055,14.032791139378856,13.980695581169634,0.16254956110323537,0.15834604132557079,0.15837449427816105,0.15225458061737115,0.15180926354347768,0.14753126352126564,0.14622214160347155,0.1424744068331973,0.1417360842877352,0.1403670979854055,0.14032791139378856,0.13980695581169633
OGLE-CL SMC  324,MC0113,6.180833,-73.75389,100.0,14.59706249948359,14.079209263046785,13.854971353654943,13.407607233600938,13.314496087748582,13.002707806718362,12.85907830017007,12.530326296732932,12.467751245131588,12.326364640407027,12.279874531840507,12.269976420407016,0.1459706249948359,0.14079209263046785,0.13854971353654943,0.13407607233600938,0.1331449608774858,0.13002707806718364,0.1285907830017007,0.12530326296732933,0.12467751245131588,0.12326364640407027,0.12279874531840508,0.12269976420407015
[H86] 97,MC0114,11.9675,-73.22195,40.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
[H86] 97,MC0115,11.9675,-73.22195,40.0,13.92455617543107,13.64791632633395,13.404969846880544,13.250943704072437,13.22599133073852,13.12688599195894,13.031209569114356,12.854087368548209,12.837239842893847,12.74954363602285,12.692297374475512,12.65273038404945,0.1392455617543107,0.1364791632633395,0.13404969846880543,0.13250943704072438,0.1322599133073852,0.1312688599195894,0.13031209569114358,0.1285408736854821,0.12837239842893847,0.1274954363602285,0.1269229737447551,0.12652730384049451
HW31,MC0115,13.891667,-74.062775,45.0,16.55729452076954,16.23770890688403,16.050941878003744,15.53621055117421,15.506494229239319,15.0022619904233,14.811649942012354,14.304960185547426,14.229917757302667,13.97501251209644,13.772911572394396,13.78439525360529,0.1655729452076954,0.1623770890688403,0.16050941878003744,0.15536210551174212,0.1550649422923932,0.150022619904233,0.14811649942012353,0.14304960185547427,0.14229917757302668,0.1397501251209644,0.13772911572394395,0.1378439525360529
HW31,MC0135,13.891667,-74.062775,45.0,16.540818526678578,16.078498451373658,16.083386811075226,15.582996498345763,15.469995097878678,14.987672908500652,14.87551968699327,14.365764655769407,14.291999882349739,14.095502732790113,13.978385323207256,13.948500250368891,0.16540818526678577,0.16078498451373657,0.16083386811075226,0.15582996498345764,0.15469995097878678,0.14987672908500652,0.14875519686993272,0.14365764655769409,0.1429199988234974,0.14095502732790113,0.13978385323207257,0.13948500250368892
HW63,MC0116,17.55125,-73.208885,45.0,16.80821990423223,16.371904143139137,16.242030696622177,16.027003080086118,15.746666013948008,15.488762639037457,15.379261809069085,15.057958745441445,15.0640568488826,14.959226138888798,15.019723647886103,15.022283023153191,0.16808219904232233,0.16371904143139138,0.16242030696622176,0.1602700308008612,0.15746666013948007,0.15488762639037457,0.15379261809069086,0.15057958745441444,0.150640568488826,0.14959226138888798,0.15019723647886105,0.1502228302315319
Cl Kron 8,MC0113,7.007917,-73.30333,59.99999999999999,16.758592990169266,16.47308304062819,16.91347355711818,15.812364634836806,15.491124463291449,15.298353332124128,14.83247855547486,14.568706704638824,14.153935105745385,14.343554185983683,13.768019510016952,14.17261503317593,0.16758592990169266,0.1647308304062819,0.1691347355711818,0.15812364634836806,0.1549112446329145,0.1529835333212413,0.14832478555474862,0.14568706704638826,0.14153935105745385,0.14343554185983684,0.13768019510016952,0.1417261503317593
Cl Kron 8,MC0114,7.007917,-73.30333,59.99999999999999,16.220914824678893,15.763167346452553,15.72667356385087,15.097628979791068,14.921143759460241,14.467925302618639,14.261563940770849,13.816039419053075,13.70882439326282,13.576731464339515,13.46500225140818,13.431562215793088,0.16220914824678892,0.15763167346452553,0.1572667356385087,0.1509762897979107,0.14921143759460243,0.1446792530261864,0.1426156394077085,0.13816039419053075,0.1370882439326282,0.13576731464339514,0.1346500225140818,0.1343156221579309
OGLE-CL SMC 196,MC0115,12.3625,-73.39861,20.0,16.030993430638095,15.876644003965206,15.731097217581738,15.513200464376101,15.555959201862379,15.334268645370262,15.278786627181194,15.040969060928488,15.02551592164244,14.936318817323176,14.928682275467036,14.867148129645809,0.16030993430638094,0.15876644003965207,0.15731097217581738,0.155132004643761,0.1555595920186238,0.1533426864537026,0.15278786627181196,0.15040969060928489,0.1502551592164244,0.14936318817323177,0.14928682275467037,0.1486714812964581
OGLE-CL SMC  332,MC0113,6.359583,-74.075,55.00000000000001,16.09603664447402,15.53519056524586,15.339064440336173,14.82921256090066,14.790978653277946,14.378981397772733,14.194216516946117,13.76734951059162,13.683143049236389,13.471691664958799,13.360628771784706,13.330227811301238,0.16096036644474018,0.1553519056524586,0.15339064440336173,0.1482921256090066,0.14790978653277947,0.14378981397772733,0.14194216516946118,0.1376734951059162,0.13683143049236388,0.134716916649588,0.13360628771784705,0.13330227811301237
OGLE-CL SMC  332,MC0133,6.359583,-74.075,55.00000000000001,16.228830432474787,15.601195372847467,15.432862410352364,14.849390723388606,14.765540651844296,14.340660441028149,14.207237941970106,13.765142407315905,13.691240512130467,13.477239316244978,13.388444469215653,13.340333330208345,0.16228830432474786,0.15601195372847468,0.15432862410352363,0.14849390723388606,0.14765540651844297,0.1434066044102815,0.14207237941970108,0.13765142407315906,0.13691240512130468,0.1347723931624498,0.13388444469215652,0.13340333330208345
Bruck 34,MC0114,11.217083,-73.00166,35.0,12.455919460650009,12.045562226689299,12.014458974271626,11.498160827873846,11.41880130810872,11.461408208487352,11.00717933530651,11.184761668134065,11.039450754159631,11.095587886287188,10.76909577626831,10.983010046638707,0.12455919460650008,0.12045562226689299,0.12014458974271626,0.11498160827873846,0.1141880130810872,0.11461408208487353,0.1100717933530651,0.11184761668134066,0.11039450754159631,0.11095587886287188,0.1076909577626831,0.10983010046638708
Cl Kron 55,MC0116,16.885418,-73.12056,55.00000000000001,15.069462571606898,14.559978116226748,14.281756556207018,14.024363383289586,14.01960713933064,13.871994074392918,13.830117191841854,13.687427301049688,13.721609996168237,13.667504274707213,13.719571113837985,13.696043957023372,0.15069462571606898,0.1455997811622675,0.14281756556207018,0.14024363383289587,0.1401960713933064,0.13871994074392918,0.13830117191841854,0.13687427301049687,0.13721609996168238,0.13667504274707212,0.13719571113837986,0.1369604395702337
[BS95] 75,MC0115,13.62875,-74.185555,5.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
[BS95] 75,MC0135,13.62875,-74.185555,70.0,17.082986040554704,16.479406877552872,16.237335302654166,15.63907666302628,15.638568188453176,14.924036968655555,14.854761418818626,14.251926935949628,14.173357813230142,13.989798752288003,13.972274958601037,13.935595900680557,0.17082986040554704,0.1647940687755287,0.16237335302654166,0.1563907666302628,0.15638568188453175,0.14924036968655555,0.14854761418818627,0.1425192693594963,0.14173357813230142,0.13989798752288005,0.1397227495860104,0.13935595900680559
[H86] 190,MC0094,15.13875,-72.25806,25.0,14.727034578276559,14.70571753911253,14.599802950279287,14.54021397557937,14.599020966739959,14.705919932066195,14.731904641391015,14.871800400436765,14.895593448671711,15.0226741676359,15.161693187249785,15.158610231482267,0.1472703457827656,0.1470571753911253,0.14599802950279286,0.1454021397557937,0.1459902096673996,0.14705919932066194,0.14731904641391017,0.14871800400436766,0.14895593448671712,0.150226741676359,0.15161693187249786,0.15158610231482267
[H86] 174,MC0094,14.324583,-72.93361,25.0,nan,24.209643396937878,nan,23.603765048137188,nan,24.728570483285612,nan,26.591626450949285,nan,nan,nan,24.733393644910482,nan,0.24209643396937877,nan,0.23603765048137187,nan,0.2472857048328561,nan,0.26591626450949285,nan,nan,nan,0.2473339364491048
[H86] 174,MC0115,14.324583,-72.93361,25.0,16.310918948588604,15.830195117764532,15.48837222242882,15.391680135728809,15.407324282480491,15.291308798934871,15.344684457785469,15.275922029830795,15.383727679078685,15.408723694632258,15.54179901156324,15.501670536015773,0.16310918948588604,0.1583019511776453,0.1548837222242882,0.15391680135728808,0.15407324282480492,0.15291308798934872,0.1534468445778547,0.15275922029830796,0.15383727679078685,0.1540872369463226,0.1554179901156324,0.15501670536015774
[H86] 70,MC0114,10.935,-72.97639,29.999999999999996,16.504817702489387,15.990509166243331,15.706995739275143,15.31630698795752,15.2512852108184,14.91263596287442,14.804990775816709,14.449266513006219,14.458114349767351,14.261399555066633,14.250560908462123,14.215055051813028,0.16504817702489388,0.15990509166243333,0.15706995739275142,0.1531630698795752,0.152512852108184,0.1491263596287442,0.1480499077581671,0.14449266513006218,0.1445811434976735,0.14261399555066634,0.14250560908462123,0.14215055051813028
NGC242,MC0114,10.9025,-73.44444,45.0,13.352050711642791,12.856900020942174,12.677214495304204,12.484056644533414,12.473798581331458,12.394160866781794,12.299828749851207,12.149510426460967,12.01153899267503,12.05544992017924,12.021879283580446,11.990377778810771,0.1335205071164279,0.12856900020942175,0.12677214495304204,0.12484056644533414,0.12473798581331458,0.12394160866781795,0.12299828749851206,0.12149510426460967,0.1201153899267503,0.12055449920179241,0.12021879283580447,0.11990377778810771
NGC265,MC0114,11.7975,-73.476944,70.0,16.474714534342617,16.391264606988997,15.55959677524049,15.323935960643086,15.147922196348926,15.241199180844095,14.746140412822358,14.968973702636745,15.351942069930654,14.704897974176559,14.391281081228756,14.696005220962645,0.16474714534342616,0.16391264606988998,0.1555959677524049,0.15323935960643087,0.15147922196348926,0.15241199180844095,0.1474614041282236,0.14968973702636745,0.15351942069930655,0.1470489797417656,0.14391281081228757,0.14696005220962646
NGC265,MC0115,11.7975,-73.476944,70.0,13.027919380286075,12.639007506088024,12.352911324097793,12.125872807710902,12.125179820561153,11.99577550561645,11.905620326548672,11.716406030550614,11.70234258643673,11.599287494585106,11.543457092869911,11.50658457371125,0.13027919380286077,0.12639007506088024,0.12352911324097793,0.12125872807710902,0.12125179820561152,0.1199577550561645,0.11905620326548672,0.11716406030550613,0.1170234258643673,0.11599287494585106,0.11543457092869912,0.1150658457371125
OGLE-CL SMC  340,MC0095,18.72,-71.55028,145.0,12.153262799921482,11.738917465950255,11.515691455834187,11.32513429094061,11.338459340637012,11.293450918054397,11.2613454010241,11.211280292737099,11.245448251522804,11.214311258584294,11.252410344167178,11.203755741929443,0.12153262799921483,0.11738917465950255,0.11515691455834187,0.11325134290940611,0.11338459340637012,0.11293450918054397,0.112613454010241,0.112112802927371,0.11245448251522805,0.11214311258584295,0.11252410344167178,0.11203755741929444
Bruck 124,MC0115,16.259167,-73.04222,29.999999999999996,15.208762609335256,14.8778146043417,14.711952268798088,14.595304050702461,14.591007822426706,14.492404723233188,14.47240462653918,14.282883952527381,14.261169844593228,14.192992650534501,14.153682326555366,14.144108813516716,0.15208762609335255,0.148778146043417,0.14711952268798087,0.14595304050702462,0.14591007822426705,0.14492404723233188,0.14472404626539181,0.1428288395252738,0.14261169844593227,0.14192992650534503,0.14153682326555367,0.14144108813516718
Cl Kron 30,MC0094,13.15,-72.19334,85.0,12.504760766390774,12.414280805903587,12.357021914455109,12.22201455753416,12.21628985335302,12.041503163029203,11.989460885253783,11.667536325549936,11.46927932796907,11.500355932546714,11.270091389949117,11.31815272546796,0.12504760766390774,0.12414280805903588,0.12357021914455109,0.12222014557534161,0.1221628985335302,0.12041503163029203,0.11989460885253783,0.11667536325549936,0.11469279327969072,0.11500355932546714,0.11270091389949118,0.11318152725467961
[H86] 188,MC0094,15.0525,-72.46167,75.0,13.238824823549276,13.148780497658464,13.032290668559149,12.904095483916212,12.932211984098151,12.87844962051523,12.839399051920855,12.722394980653771,12.645277050760681,12.633923021341403,12.653423469696154,12.62195044237575,0.13238824823549275,0.13148780497658463,0.1303229066855915,0.12904095483916211,0.12932211984098152,0.1287844962051523,0.12839399051920855,0.1272239498065377,0.1264527705076068,0.12633923021341403,0.12653423469696154,0.1262195044237575
[H86] 90,MC0114,11.857083,-73.45472,29.999999999999996,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
[H86] 90,MC0115,11.857083,-73.45472,29.999999999999996,14.779369995059085,14.752574364534444,14.642480242167426,14.63926042827324,14.630447945524018,14.664024090121776,14.729901035054988,14.82351967765196,15.006946426642,15.020859501594042,15.174457655692944,15.164997360166756,0.14779369995059086,0.14752574364534446,0.14642480242167427,0.1463926042827324,0.1463044794552402,0.14664024090121777,0.14729901035054987,0.1482351967765196,0.15006946426641998,0.15020859501594042,0.15174457655692944,0.15164997360166757
IC1612,MC0094,15.00875,-72.36806,70.0,12.703600115494528,12.534642685378792,12.361927894134668,12.217096473761753,12.223216430244982,12.102766668689686,12.01330605988427,11.791002824541254,11.722978210657386,11.596939062422885,11.523972046434285,11.489147574931966,0.1270360011549453,0.1253464268537879,0.12361927894134668,0.12217096473761753,0.12223216430244982,0.12102766668689686,0.1201330605988427,0.11791002824541254,0.11722978210657387,0.11596939062422885,0.11523972046434285,0.11489147574931967
