object,RA,DEC,logAge,age,FeH,Z,E(B-V),field,CTYPE,a,b,flag_u,flag_r,r_logAge,r__M_H_
OGLE-CL SMC 133,15.630417,-72.31834,8.8,6.309573444801943E8,-0.8,0.0030112970656761156,0.0917,MC0095,C,0.8,0.8,2,0,"GGK10,CVH+06           ",PGC+15
HW40,15.107083,-71.29417,9.56,3.6307805477010174E9,-0.78,0.003153215124131365,0.0696,MC0072,C,0.9,0.9,0,0,"PGC+14,DKB+14          ",PGC+15
Cl Kron 11,9.113333,-72.47833,9.17,1.4791083881682072E9,-0.78,0.003153215124131365,0.0924,MC0093,C,1.1,1.1,0,0,DKB+16                 ,DKB+16
OGLE-CL SMC  324,6.180833,-73.75389,9.15,1.4125375446227555E9,-0.76,0.0033018215746238133,68,MC0113,C,1.8,1.8,0,0,"PGC+14,DKB+16          ",PGG+09
[H86] 97,11.9675,-73.22195,8.37,2.3442288153199178E8,-0.71,0.0037047047395402863,0.1192,MC0114,C,0.7,0.6,3,3,"CVH+06,PU99,MPS14      ",PGC+15
[H86] 97,11.9675,-73.22195,8.37,2.3442288153199178E8,-0.71,0.0037047047395402863,0.1192,MC0115,C,0.7,0.6,0,0,"CVH+06,PU99,MPS14      ",PGC+15
HW31,13.891667,-74.062775,9.66,4.570881896148752E9,-0.7,0.0037909983984408713,0.08,MC0115,C,0.8,0.75,0,0,"GGK10,PGC+14           ",PPV17 
HW31,13.891667,-74.062775,9.66,4.570881896148752E9,-0.7,0.0037909983984408713,0.08,MC0135,C,0.8,0.75,0,0,"GGK10,PGC+14           ",PPV17 
HW63,17.55125,-73.208885,9.71,5.128613839913659E9,-0.7,0.0037909983984408713,0.1167,MC0116,C,0.75,0.75,2,2,"GGK10,PGC+14           ",PPV17 
Cl Kron 8,7.007917,-73.30333,9.47,2.95120922666639E9,-0.7,0.0037909983984408713,0.0704,MC0113,C,1.1,1.1,3,3,DKB+16                 ,PGC+15
Cl Kron 8,7.007917,-73.30333,9.47,2.95120922666639E9,-0.7,0.0037909983984408713,0.0704,MC0114,C,1.1,1.1,1,1,DKB+16                 ,PGC+15
OGLE-CL SMC 196,12.3625,-73.39861,8.23,1.698243652461746E8,-0.7,0.0037909983984408713,0.0904,MC0115,C,0.35,0.35,2,2,"CVH+06,MPS14           ",PPV17 
OGLE-CL SMC  332,6.359583,-74075,9.2,1.5848931924611108E9,-0.63,0.004454034749107852,0.0726,MC0113,C,1.0,1.0,0,0,DKB+16                 ,PGC+15
OGLE-CL SMC  332,6.359583,-74075,9.2,1.5848931924611108E9,-0.63,0.004454034749107852,0.0726,MC0133,C,1.0,1.0,0,0,DKB+16                 ,PGC+15
Bruck 34,11.217083,-73.00166,9.08,1.202264434617413E9,-0.58,0.004997509184601226,0.0845,MC0114,C,0.6,0.6,1,1,"GGK10,CVH+06,PGC+14    ",PPV17 
Cl Kron 55,16.885418,-73.12056,8.52,3.311311214825908E8,-0.58,0.004997509184601226,0.1022,MC0116,C,0.95,0.95,0,0,"GGK10,CVH+06,MPS14     ",PPV17 
[BS95] 75,13.62875,-74.185555,9.25,1.7782794100389228E9,-0.48,0.006291491308169231,0.0798,MC0115,C,1.2,1.2,3,3,"GGK10,MPS14            ",PPV17 
[BS95] 75,13.62875,-74.185555,9.25,1.7782794100389228E9,-0.48,0.006291491308169231,0.0798,MC0135,C,1.2,1.2,1,1,"GGK10,MPS14            ",PPV17 
[H86] 190,15.13875,-72.25806,7.5,3.162277660168379E7,-0.48,0.006291491308169231,75,MC0094,C,0.4,0.4,0,0,"CVH+06,PU99,MPS14      ",PPV17 
[H86] 174,14.324583,-72.93361,8.53,3.3884415613920206E8,-0.4,0.007564036240516447,0.1068,MC0094,C,0.45,0.45,3,3,"CVH+06,MPS14           ",PPV17 
[H86] 174,14.324583,-72.93361,8.53,3.3884415613920206E8,-0.4,0.007564036240516447,0.1068,MC0115,C,0.45,0.45,0,0,"CVH+06,MPS14           ",PPV17 
