object,RA,DEC,logAge,age,FeH,Z,E(B-V),field,CTYPE,a,b,flag_u,flag_r,r_logAge,r__M_H_
Cl Kron 11,9.113333,-72.47833,9.17,1479108388.16821,-0.78,0.003153215124131,0.0924,MC0093,C,1.1,1.1,0.0,0.0,DKB+16,DKB+16
OGLE-CL SMC  324,6.180833,-73.75389,9.15,1412537544.62276,-0.76,0.003301821574624,0.068,MC0113,C,1.8,1.8,0.0,0.0,PGC+14.DKB+16,PGG+09
[H86] 97,11.9675,-73.22195,8.37,234422881.531992,-0.71,0.00370470473954,0.1192,MC0114,C,0.7,0.6,3.0,3.0,CVH+06.PU99.MPS14,PGC+15
[H86] 97,11.9675,-73.22195,8.37,234422881.531992,-0.71,0.00370470473954,0.1192,MC0115,C,0.7,0.6,0.0,0.0,CVH+06.PU99.MPS14,PGC+15
HW31,13.891667,-74.062775,9.66,4570881896.14875,-0.7,0.003790998398441,0.08,MC0115,C,0.8,0.75,0.0,0.0,GGK10.PGC+14,PPV17
HW31,13.891667,-74.062775,9.66,4570881896.14875,-0.7,0.003790998398441,0.08,MC0135,C,0.8,0.75,0.0,0.0,GGK10.PGC+14,PPV17
HW63,17.55125,-73.208885,9.71,5128613839.91366,-0.7,0.003790998398441,0.1167,MC0116,C,0.75,0.75,2.0,2.0,GGK10.PGC+14,PPV17
Cl Kron 8,7.007917,-73.30333,9.47,2951209226.66639,-0.7,0.003790998398441,0.0704,MC0113,C,1.1,1.1,3.0,3.0,DKB+16,PGC+15
Cl Kron 8,7.007917,-73.30333,9.47,2951209226.66639,-0.7,0.003790998398441,0.0704,MC0114,C,1.1,1.1,1.0,1.0,DKB+16,PGC+15
OGLE-CL SMC 196,12.3625,-73.39861,8.23,169824365.246175,-0.7,0.003790998398441,0.0904,MC0115,C,0.35,0.35,2.0,2.0,CVH+06.MPS14,PPV17
OGLE-CL SMC  332,6.359583,-74.075,9.2,1584893192.46111,-0.63,0.004454034749108,0.0726,MC0113,C,1.0,1.0,0.0,0.0,DKB+16,PGC+15
OGLE-CL SMC  332,6.359583,-74.075,9.2,1584893192.46111,-0.63,0.004454034749108,0.0726,MC0133,C,1.0,1.0,0.0,0.0,DKB+16,PGC+15
Bruck 34,11.217083,-73.00166,9.08,1202264434.61741,-0.58,0.004997509184601,0.0845,MC0114,C,0.6,0.6,1.0,1.0,GGK10.CVH+06.PGC+14,PPV17
Cl Kron 55,16.885418,-73.12056,8.52,331131121.482591,-0.58,0.004997509184601,0.1022,MC0116,C,0.95,0.95,0.0,0.0,GGK10.CVH+06.MPS14,PPV17
[BS95] 75,13.62875,-74.185555,9.25,1778279410.03892,-0.48,0.006291491308169,0.0798,MC0115,C,1.2,1.2,3.0,3.0,GGK10.MPS14,PPV17
[BS95] 75,13.62875,-74.185555,9.25,1778279410.03892,-0.48,0.006291491308169,0.0798,MC0135,C,1.2,1.2,1.0,1.0,GGK10.MPS14,PPV17
[H86] 190,15.13875,-72.25806,7.5,31622776.6016838,-0.48,0.006291491308169,0.075,MC0094,C,0.4,0.4,0.0,0.0,CVH+06.PU99.MPS14,PPV17
[H86] 174,14.324583,-72.93361,8.53,338844156.139202,-0.4,0.007564036240516,0.1068,MC0094,C,0.45,0.45,3.0,3.0,CVH+06.MPS14,PPV17
[H86] 174,14.324583,-72.93361,8.53,338844156.139202,-0.4,0.007564036240516,0.1068,MC0115,C,0.45,0.45,0.0,0.0,CVH+06.MPS14,PPV17
[H86] 70,10.935,-72.97639,8.8,630957344.480194,-0.4,0.007564036240516,0.0827,MC0114,C,0.5,0.5,2.0,2.0,CVH+06,PPV17
NGC242,10.9025,-73.44444,7.83,67608297.5391982,-0.28,0.009971341744746,0.096,MC0114,C,0.75,0.75,2.0,2.0,CVH+06.PU99.MPS14,PPV17
NGC265,11.7975,-73.476944,8.25,177827941.003892,-0.28,0.009971341744746,0.1016,MC0114,C,1.2,1.2,3.0,3.0,GGK10.CVH+06.PU99,PPV17
NGC265,11.7975,-73.476944,8.25,177827941.003892,-0.28,0.009971341744746,0.1016,MC0115,C,1.2,1.2,0.0,0.0,GGK10.CVH+06.PU99,PPV17
OGLE-CL SMC  340,18.72,-71.55028,8.23,169824365.246175,-0.23,0.011188029451756,0.0711,MC0095,C,2.6,2.3,0.0,0.0,RGB+07,DH98
Bruck 124,16.259167,-73.04222,8.05,112201845.430197,-0.18,0.012553175512144,0.0836,MC0115,C,0.55,0.55,0.0,0.0,GGK10.MPS14,PPV17
Cl Kron 30,13.15,-72.19334,8.2,158489319.246111,-0.18,0.012553175512144,0.0793,MC0094,C,1.5,1.5,1.0,1.0,GGK10,PPV17
[H86] 188,15.0525,-72.46167,7.97,93325430.0796991,-0.1,0.015092236459761,0.1069,MC0094,C,1.3,0.7,1.0,1.0,CVH+06.PU99.MPS14,PPV17
[H86] 90,11.857083,-73.45472,8.4,251188643.150958,-0.1,0.015092236459761,0.1016,MC0114,C,0.5,0.45,3.0,3.0,GGK10.MPS14,PPV17
[H86] 90,11.857083,-73.45472,8.4,251188643.150958,-0.1,0.015092236459761,0.1016,MC0115,C,0.5,0.45,0.0,0.0,GGK10.MPS14,PPV17
IC1612,15.00875,-72.36806,7.9,79432823.4724282,-0.1,0.015092236459761,0.1031,MC0094,C,1.2,0.8,2.0,0.0,GGK10.CVH+06.PU99,PPV17
Cl Kron 42,15.141667,-72.365555,7.7,50118723.3627272,-0.1,0.015092236459761,0.0844,MC0094,C,0.85,0.85,0.0,0.0,GGK10.CVH+06.PU99,PPV17
Cl Kron 43,15.205833,-73.34778,8.15,141253754.462276,-0.1,0.015092236459761,0.0823,MC0115,C,1.2,1.2,2.0,2.0,GGK10.MPS14,PPV17
Cl Kron 47,15.7975,-72.272224,7.65,44668359.2150963,-0.1,0.015092236459761,0.0917,MC0094,C,0.75,0.75,3.0,3.0,GGK10.CVH+06.PU99.MPS14,PPV17
Cl Kron 47,15.7975,-72.272224,7.65,44668359.2150963,-0.1,0.015092236459761,0.0917,MC0095,C,0.75,0.75,0.0,0.0,GGK10.CVH+06.PU99.MPS14,PPV17
NGC241,10.883333,-73.43972,8.2,158489319.246111,-0.1,0.015092236459761,0.096,MC0114,C,0.95,0.95,2.0,2.0,GGK10.CVH+06.PU99.MPS14,PPV17
NGC256,11.475417,-73.50667,7.93,85113803.8202376,-0.1,0.015092236459761,0.1083,MC0114,C,0.9,0.9,0.0,0.0,GGK10.CVH+06.PU99,PPV17
NGC256,11.475417,-73.50667,7.93,85113803.8202376,-0.1,0.015092236459761,0.1083,MC0115,C,0.9,0.9,3.0,3.0,GGK10.CVH+06.PU99,PPV17
Bruck 6,6.997917,-74.40111,8.11,128824955.169313,-0.04,0.017328205947762,0.0887,MC0133,C,0.6,0.6,0.0,0.0,DKB+16,DKB+16
Bruck 103,15.2375,-73.15361,8.43,269153480.392691,-0.01,0.01856750719816,0.0855,MC0115,C,0.9,0.65,0.0,0.0,GGK10.MPS14,PPV17
Bruck 55,12.592083,-73.38695,8.21,162181009.735893,-0.01,0.01856750719816,0.0801,MC0115,C,0.7,0.6,1.0,1.0,GGK10.CVH+06.PU99.MPS14,PPV17
[BS95] 88,14.459167,-72.94361,9.26,1819700858.60998,-0.01,0.01856750719816,0.0938,MC0094,C,0.55,0.5,3.0,3.0,CVH+06.PGC+14,PPV17
[BS95] 88,14.459167,-72.94361,9.26,1819700858.60998,-0.01,0.01856750719816,0.0938,MC0115,C,0.55,0.5,2.0,0.0,CVH+06.PGC+14,PPV17
[H86] 76,11.50625,-73.39555,8.4,251188643.150958,-0.01,0.01856750719816,0.122,MC0114,C,0.45,0.45,1.0,1.0,MPS14,PPV17
[H86] 76,11.50625,-73.39555,8.4,251188643.150958,-0.01,0.01856750719816,0.122,MC0115,C,0.45,0.45,3.0,3.0,MPS14,PPV17
[H86] 87,11.770417,-73.37111,8.3,199526231.496888,-0.01,0.01856750719816,0.1124,MC0114,C,0.8,0.7,3.0,3.0,CVH+06.PU99.MPS14,PPV17
[H86] 87,11.770417,-73.37111,8.3,199526231.496888,-0.01,0.01856750719816,0.1124,MC0115,C,0.8,0.7,1.0,1.0,CVH+06.PU99.MPS14,PPV17
Cl Kron 25,12.004167,-73.486115,8.38,239883291.901949,-0.01,0.01856750719816,0.0935,MC0114,C,1.2,1.2,3.0,3.0,GGK10.CVH+06.PU99,PPV17
Cl Kron 25,12.004167,-73.486115,8.38,239883291.901949,-0.01,0.01856750719816,0.0935,MC0115,C,1.2,1.2,2.0,2.0,GGK10.CVH+06.PU99,PPV17
Cl Lindsay 39,12.262917,-73.361115,8.01,102329299.228075,-0.01,0.01856750719816,0.0801,MC0115,C,0.7,0.55,0.0,0.0,GGK10.CVH+06.PU99.MPS14,PPV17
NGC306,13.5625,-72.24139,7.7,50118723.3627272,-0.01,0.01856750719816,0.0834,MC0094,C,1.1,1.1,0.0,0.0,GGK10,PPV17
Bruck 10,9.435417,-73.210556,9.0,1.000.000.000.00,0.0,0.0,0.0818,MC0114,C,0.8,0.8,2.0,0.0,GGK10.CVH+06,
Bruck 100,15.099583,-72.089165,8.1,125892541.179417,0.0,0.0,0.0738,MC0094,C,0.65,0.65,0.0,0.0,GGK10,
Bruck 108,15.4625,-72.181946,8.75,562341325.190349,0.0,0.0,0.0716,MC0094,C,0.8,0.8,3.0,3.0,GGK10.CVH+06,
Bruck 108,15.4625,-72.181946,8.75,562341325.190349,0.0,0.0,0.0716,MC0095,C,0.8,0.8,2.0,0.0,GGK10.CVH+06,
Bruck 109,15.474167,-73.611115,9.4,2511886431.50958,0.0,0.0,0.0703,MC0115,C,0.7,0.7,2.0,2.0,GGK10,
Bruck 110,15.540833,-72.005554,8.0,100.000.000.00,0.0,0.0,0.0732,MC0094,C,0.55,0.45,3.0,3.0,GGK10,
Bruck 110,15.540833,-72.005554,8.0,100.000.000.00,0.0,0.0,0.0732,MC0095,C,0.55,0.45,2.0,0.0,GGK10,
Bruck 112,15.600417,-72.001114,0.0,0.00,0.0,0.0,0.0756,MC0094,C,0.35,0.3,3.0,3.0,,
Bruck 112,15.600417,-72.001114,0.0,0.00,0.0,0.0,0.0756,MC0095,C,0.35,0.3,2.0,2.0,,
Bruck 115,15.846667,-72.65083,7.43,26915348.0392691,0.0,0.0,0.0937,MC0095,C,0.9,0.8,2.0,0.0,GGK10.CVH+06.PU99,
Bruck 117,16.0525,-73.26056,8.3,199526231.496888,0.0,0.0,0.0949,MC0115,C,0.65,0.65,0.0,0.0,GGK10,
Bruck 119,16.080833,-73.16695,8.9,794328234.724282,0.0,0.0,0.0907,MC0115,C,0.6,0.6,0.0,0.0,GGK10,
Bruck 12,9.58625,-73.27111,9.0,1.000.000.000.00,0.0,0.0,0.0831,MC0114,C,0.45,0.35,0.0,0.0,CVH+06,
Bruck 120,16.130833,-73.039444,0.0,0.00,0.0,0.0,0.0836,MC0115,C,0.45,0.35,2.0,2.0,,
Bruck 121,16.124582,-72.61916,8.07,117489755.493953,0.0,0.0,0.0918,MC0095,C,0.65,0.65,0.0,0.0,GGK10.CVH+06.PU99,
Bruck 128,16.4625,-71.9525,8.35,223872113.856834,0.0,0.0,0.0962,MC0095,C,0.7,0.45,0.0,0.0,GGK10.CVH+06,
Bruck 129,16.758333,-72.62194,8.2,158489319.246111,0.0,0.0,0.1045,MC0095,C,1.1,1.1,0.0,0.0,GGK10.CVH+06.PU99,
Bruck 136,17.167084,-71.75889,8.7,501187233.627272,0.0,0.0,0.0708,MC0095,C,0.85,0.8,2.0,2.0,GGK10,
Bruck 137,17.61625,-72.95722,8.4,251188643.150958,0.0,0.0,0.0928,MC0095,C,0.6,0.6,3.0,3.0,GGK10,
Bruck 137,17.61625,-72.95722,8.4,251188643.150958,0.0,0.0,0.0928,MC0116,C,0.6,0.6,1.0,1.0,GGK10,
Bruck 139,17.610832,-71.56556,8.3,199526231.496888,0.0,0.0,0.072,MC0072,C,0.65,0.55,0.0,0.0,GGK10,
