object,RA,DEC,logAge,age,FeH,Z,E(B-V),field,CTYPE,a,b,flag_u,flag_r,r_logAge,r__M_H_
[BS95] 30,11.399583,-73.480835,8.9,794328234.724282,0.0,0.0,0.1083,MC0114,C,0.4,0.35,1.0,1.0,CVH+06,
[BS95] 39,12.55,-73.34805,7.5,31622776.6016838,0.0,0.0,0.0874,MC0115,C,0.45,0.4,1.0,1.0,CVH+06,
[BS95] 41,12.275,-73.352776,8.0,100.000.000.00,0.0,0.0,0.0801,MC0115,C,0.55,0.55,0.0,0.0,CVH+06.PU99,
[BS95] 43,12.3075,-73.3675,0.0,0.00,0.0,0.0,0.0904,MC0115,C,0.7,0.55,2.0,2.0,,
[BS95] 46,12.658333,-72.97722,8.0,100.000.000.00,0.0,0.0,0.1007,MC0094,C,0.5,0.45,3.0,3.0,CVH+06.PU99,
[BS95] 46,12.658333,-72.97722,8.0,100.000.000.00,0.0,0.0,0.1007,MC0115,C,0.5,0.45,1.0,1.0,CVH+06.PU99,
[BS95] 5,7.59375,-73.33444,0.0,0.00,0.0,0.0,0.0895,MC0114,C,0.45,0.35,1.0,1.0,,
[BS95] 56,13.056667,-73.003334,8.0,100.000.000.00,0.0,0.0,0.0759,MC0094,C,0.7,0.55,3.0,3.0,CVH+06.PU99,
[BS95] 56,13.056667,-73.003334,8.0,100.000.000.00,0.0,0.0,0.0759,MC0115,C,0.7,0.55,1.0,1.0,CVH+06.PU99,
[BS95] 57,13.136667,-73.03361,7.6,39810717.0553497,0.0,0.0,0.0759,MC0115,C,0.35,0.25,2.0,0.0,CVH+06,
[BS95] 58,13.147083,-73.3825,8.5,316227766.016838,0.0,0.0,0.0904,MC0115,C,0.65,0.5,2.0,2.0,CVH+06,
[BS95] 60,13.1775,-72.925,7.87,74131024.1300918,0.0,0.0,0.0877,MC0094,C,0.8,0.8,3.0,3.0,GGK10.CVH+06.PU99,
[BS95] 60,13.1775,-72.925,7.87,74131024.1300918,0.0,0.0,0.0877,MC0115,C,0.8,0.8,1.0,1.0,GGK10.CVH+06.PU99,
[BS95] 63,13.195833,-73.406944,8.6,398107170.553497,0.0,0.0,0.0904,MC0115,C,0.5,0.4,1.0,1.0,GGK10.CVH+06,
[BS95] 76,13.907083,-71.92028,8.1,125892541.179417,0.0,0.0,0.0842,MC0094,C,0.55,0.55,1.0,1.0,GGK10,
[BS95] 81,14.107917,-72.49722,8.0,100.000.000.00,0.0,0.0,0.106,MC0094,C,0.6,0.55,2.0,0.0,CVH+06,
[BS95] 82,14.12125,-72.54528,8.7,501187233.627272,0.0,0.0,0.106,MC0094,C,0.6,0.5,2.0,2.0,CVH+06,
[BS95] 93,14.909583,-71.73778,0.0,0.00,0.0,0.0,0.0888,MC0094,C,0.4,0.35,1.0,1.0,,
[BGB2018] SMC-NUV-668,10.0575,-73.85667,9.85,7079457843.84137,0.0,0.0,0.0813,MC0114,C,1.18,1.18,1.0,1.0,BGB+18,
[H86] 101,12.13375,-72.761665,8.3,199526231.496888,0.0,0.0,0.0971,MC0094,C,0.5,0.5,2.0,2.0,GGK10,
[H86] 102,12.36125,-73.53167,8.53,338844156.139202,0.0,0.0,0.0861,MC0115,C,0.55,0.55,2.0,2.0,GGK10.CVH+06,
[H86] 103,12.270833,-73.05111,7.0,10.000.000.00,0.0,0.0,0.1187,MC0115,C,0.55,0.45,2.0,0.0,CVH+06,
[H86] 104,12.300417,-73.10833,9.0,1.000.000.000.00,0.0,0.0,0.1242,MC0115,C,0.4,0.4,2.0,2.0,CVH+06,
[H86] 105,12.744583,-73.50222,7.9,79432823.4724282,0.0,0.0,0.0839,MC0115,C,0.45,0.45,1.0,1.0,CVH+06,
[H86] 109,12.437083,-72.86639,8.43,269153480.392691,0.0,0.0,0.1278,MC0094,C,0.45,0.45,1.0,1.0,GGK10.CVH+06.PU99,
[H86] 109,12.437083,-72.86639,8.43,269153480.392691,0.0,0.0,0.1278,MC0115,C,0.45,0.45,1.0,1.0,GGK10.CVH+06.PU99,
[H86] 11,8.235,-73.50306,0.0,0.00,0.0,0.0,0.0781,MC0114,C,0.65,0.65,2.0,0.0,,
[H86] 112,12.532083,-73.190834,8.0,100.000.000.00,0.0,0.0,0.1,MC0115,C,0.65,0.55,2.0,0.0,CVH+06.PU99,
[H86] 113,12.793333,-73.58972,8.1,125892541.179417,0.0,0.0,0.0792,MC0115,C,0.4,0.4,2.0,0.0,CVH+06,
[H86] 114,12.642083,-72.65083,8.2,158489319.246111,0.0,0.0,0.0874,MC0094,C,0.75,0.65,0.0,0.0,GGK10,
[H86] 116,12.665,-72.964165,8.07,117489755.493953,0.0,0.0,0.1007,MC0094,C,0.5,0.5,3.0,3.0,GGK10.CVH+06.PU99,
[H86] 116,12.665,-72.964165,8.07,117489755.493953,0.0,0.0,0.1007,MC0115,C,0.5,0.5,1.0,1.0,GGK10.CVH+06.PU99,
[H86] 117,12.921667,-73.53083,8.2,158489319.246111,0.0,0.0,0.0834,MC0115,C,0.45,0.45,0.0,0.0,GGK10,
[H86] 119,12.9,-72.540276,7.0,10.000.000.00,0.0,0.0,0.0882,MC0094,C,0.65,0.55,2.0,0.0,CVH+06,
NoName_11,8.252917,-72.988335,0.0,0.00,0.0,0.0,0.0776,MC0093,C,0.3,0.3,3.0,3.0,,
NoName_12,8.252917,-72.988335,0.0,0.00,0.0,0.0,0.0776,MC0114,C,0.3,0.3,2.0,0.0,,
[H86] 120,12.941667,-73.46694,0.0,0.00,0.0,0.0,0.0834,MC0115,C,0.35,0.35,2.0,2.0,,
[H86] 121,12.84,-73.138336,8.8,630957344.480194,0.0,0.0,0.0908,MC0115,C,0.55,0.55,2.0,0.0,CVH+06,
[H86] 122,12.999583,-73.46139,8.1,125892541.179417,0.0,0.0,0.0834,MC0115,C,0.45,0.45,2.0,2.0,GGK10,
[H86] 123,12.93375,-73.16695,8.3,199526231.496888,0.0,0.0,0.0952,MC0115,C,0.55,0.55,2.0,0.0,CVH+06,
[H86] 126,12.973333,-73.098335,8.3,199526231.496888,0.0,0.0,0.0759,MC0115,C,0.5,0.5,2.0,2.0,CVH+06.PU99,
[H86] 128,13.011667,-72.818054,8.3,199526231.496888,0.0,0.0,0.0996,MC0094,C,0.55,0.55,0.0,0.0,CVH+06,
[H86] 128,13.011667,-72.818054,8.3,199526231.496888,0.0,0.0,0.0996,MC0115,C,0.55,0.55,0.0,0.0,CVH+06,
[H86] 129,13.052083,-72.53083,7.7,50118723.3627272,0.0,0.0,0.0929,MC0094,C,0.65,0.45,0.0,0.0,CVH+06.PU99,
[H86] 13,8.373333,-73.54417,0.0,0.00,0.0,0.0,0.0726,MC0114,C,0.4,0.4,2.0,2.0,,
[H86] 130,13.069583,-73.01778,7.57,37153522.9097173,0.0,0.0,0.0759,MC0115,C,0.75,0.6,1.0,1.0,GGK10.CVH+06.PU99,
[H86] 132,13.132917,-72.63084,8.4,251188643.150958,0.0,0.0,0.1014,MC0094,C,0.5,0.4,1.0,1.0,CVH+06,
[H86] 133,13.138333,-72.680275,7.4,25118864.3150958,0.0,0.0,0.1014,MC0094,C,0.75,0.75,1.0,1.0,CVH+06.PU99,
[H86] 134e,13.2025,-72.98944,8.1,125892541.179417,0.0,0.0,0.0786,MC0094,C,0.5,0.45,3.0,3.0,CVH+06,
[H86] 134e,13.2025,-72.98944,8.1,125892541.179417,0.0,0.0,0.0786,MC0115,C,0.5,0.45,2.0,0.0,CVH+06,
[H86] 135,13.199583,-72.511665,8.7,501187233.627272,0.0,0.0,0.0929,MC0094,C,0.55,0.55,2.0,0.0,CVH+06,
[H86] 136,13.277917,-72.34389,0.0,0.00,0.0,0.0,0.0968,MC0094,C,0.45,0.45,0.0,0.0,,
[H86] 137,13.1375,-72.68056,0.0,0.00,0.0,0.0,0.1014,MC0094,C,0.9,0.9,1.0,1.0,,
[H86] 138,13.289167,-72.574165,8.6,398107170.553497,0.0,0.0,0.0925,MC0094,C,0.45,0.45,2.0,0.0,CVH+06,
[H86] 139,13.285,-72.83278,0.0,0.00,0.0,0.0,0.0877,MC0094,C,0.35,0.3,2.0,2.0,,
[H86] 139,13.285,-72.83278,0.0,0.00,0.0,0.0,0.0877,MC0115,C,0.35,0.3,2.0,2.0,,
[H86] 140,13.28375,-72.83305,7.8,63095734.4480193,0.0,0.0,0.0877,MC0094,C,0.45,0.4,2.0,2.0,CVH+06,
[H86] 140,13.28375,-72.83305,7.8,63095734.4480193,0.0,0.0,0.0877,MC0115,C,0.45,0.4,2.0,2.0,CVH+06,
[H86] 142,13.394583,-72.49028,8.0,100.000.000.00,0.0,0.0,0.09,MC0094,C,0.9,0.9,2.0,0.0,GGK10,
[H86] 143,13.379167,-72.66778,7.8,63095734.4480193,0.0,0.0,0.099,MC0094,C,0.8,0.8,2.0,0.0,CVH+06,
[H86] 144,13.515,-73.32361,8.35,223872113.856834,0.0,0.0,0.0908,MC0115,C,0.55,0.55,2.0,0.0,GGK10,
[H86] 145,13.401667,-72.351944,7.8,63095734.4480193,0.0,0.0,0.0904,MC0094,C,0.45,0.45,0.0,0.0,GGK10,
[H86] 146,13.413333,-72.39278,8.2,158489319.246111,0.0,0.0,0.09,MC0094,C,0.9,0.9,1.0,1.0,GGK10,
[H86] 147,13.454167,-72.89528,8.53,338844156.139202,0.0,0.0,0.0867,MC0094,C,1.2,1.2,1.0,1.0,GGK10.CVH+06,
[H86] 147,13.454167,-72.89528,8.53,338844156.139202,0.0,0.0,0.0867,MC0115,C,1.2,1.2,1.0,1.0,GGK10.CVH+06,
[H86] 148,13.47125,-72.672775,8.8,630957344.480194,0.0,0.0,0.0992,MC0094,C,0.5,0.5,0.0,0.0,GGK10.CVH+06,
[H86] 149,13.5675,-72.51972,8.8,630957344.480194,0.0,0.0,0.089,MC0094,C,0.55,0.45,2.0,0.0,GGK10.CVH+06,
[H86] 15,8.46,-73.00472,0.0,0.00,0.0,0.0,0.0827,MC0093,C,0.4,0.35,3.0,3.0,,
[H86] 15,8.46,-73.00472,0.0,0.00,0.0,0.0,0.0827,MC0114,C,0.4,0.35,2.0,2.0,,
[H86] 150,13.7475,-73.41861,0.0,0.00,0.0,0.0,0.0784,MC0115,C,0.75,0.65,0.0,0.0,,
[H86] 151,13.6175,-73.04417,9.0,1.000.000.000.00,0.0,0.0,0.0751,MC0115,C,0.5,0.5,0.0,0.0,CVH+06,
[H86] 155,13.799167,-73.29639,8.75,562341325.190349,0.0,0.0,0.082,MC0115,C,0.5,0.5,0.0,0.0,GGK10.CVH+06,
[H86] 156,13.699583,-72.70389,8.8,630957344.480194,0.0,0.0,0.1051,MC0094,C,0.45,0.45,0.0,0.0,CVH+06,
[H86] 156,13.699583,-72.70389,8.8,630957344.480194,0.0,0.0,0.1051,MC0115,C,0.45,0.45,3.0,3.0,CVH+06,
[H86] 158,13.785417,-72.81111,7.6,39810717.0553497,0.0,0.0,0.1034,MC0094,C,0.5,0.5,2.0,0.0,CVH+06,
[H86] 158,13.785417,-72.81111,7.6,39810717.0553497,0.0,0.0,0.1034,MC0115,C,0.5,0.5,2.0,0.0,CVH+06,
[H86] 159,13.799583,-72.68278,9.0,1.000.000.000.00,0.0,0.0,0.1051,MC0094,C,0.5,0.4,1.0,1.0,CVH+06,
[H86] 159,13.799583,-72.68278,9.0,1.000.000.000.00,0.0,0.0,0.1051,MC0115,C,0.5,0.4,3.0,3.0,CVH+06,
[H86] 16,8.522083,-73.05167,0.0,0.00,0.0,0.0,0.0808,MC0114,C,0.65,0.45,2.0,0.0,,
[H86] 160,13.835417,-72.675,0.0,0.00,0.0,0.0,0.1051,MC0094,C,0.4,0.4,0.0,0.0,,
[H86] 160,13.835417,-72.675,0.0,0.00,0.0,0.0,0.1051,MC0115,C,0.4,0.4,3.0,3.0,,
[H86] 164,13.937917,-72.704445,8.7,501187233.627272,0.0,0.0,0.1074,MC0094,C,0.45,0.35,2.0,0.0,CVH+06,
[H86] 164,13.937917,-72.704445,8.7,501187233.627272,0.0,0.0,0.1074,MC0115,C,0.45,0.35,3.0,3.0,CVH+06,
[H86] 165,13.924583,-72.88028,8.05,112201845.430197,0.0,0.0,0.0951,MC0094,C,1.1,1.1,2.0,0.0,GGK10.CVH+06.PU99,
[H86] 165,13.924583,-72.88028,8.05,112201845.430197,0.0,0.0,0.0951,MC0115,C,1.1,1.1,2.0,0.0,GGK10.CVH+06.PU99,
[H86] 167,14.017917,-73.08972,8.7,501187233.627272,0.0,0.0,0.0791,MC0115,C,0.5,0.5,0.0,0.0,CVH+06,
[H86] 169,14.0425,-72.79528,7.2,15848931.9246111,0.0,0.0,0.1137,MC0094,C,0.35,0.35,1.0,1.0,CVH+06,
[H86] 169,14.0425,-72.79528,7.2,15848931.9246111,0.0,0.0,0.1137,MC0115,C,0.35,0.35,1.0,1.0,CVH+06,
[H86] 170,14.084583,-72.354164,0.0,0.00,0.0,0.0,0.1063,MC0094,C,0.5,0.5,2.0,2.0,,
[H86] 171,14.16375,-72.2175,0.0,0.00,0.0,0.0,0.1063,MC0094,C,0.55,0.35,0.0,0.0,,
[H86] 172,14.144583,-72.50222,8.8,630957344.480194,0.0,0.0,0.106,MC0094,C,0.55,0.55,2.0,0.0,CVH+06,
[H86] 173,14.338333,-72.57611,8.05,112201845.430197,0.0,0.0,0.1145,MC0094,C,0.5,0.4,1.0,1.0,GGK10.CVH+06,
[H86] 175,14.459583,-72.44028,8.0,100.000.000.00,0.0,0.0,0.1192,MC0094,C,0.4,0.4,0.0,0.0,CVH+06,
[H86] 176,14.464167,-72.49556,8.15,141253754.462276,0.0,0.0,0.1192,MC0094,C,0.6,0.5,1.0,1.0,GGK10.CVH+06,
[H86] 177,14.45875,-72.507774,8.05,112201845.430197,0.0,0.0,0.1192,MC0094,C,0.75,0.75,0.0,0.0,CVH+06.PU99,
[H86] 179,14.4875,-72.445,7.5,31622776.6016838,0.0,0.0,0.1192,MC0094,C,0.4,0.35,2.0,0.0,PU99,
[H86] 181,14.579167,-72.299164,7.6,39810717.0553497,0.0,0.0,0.0976,MC0094,C,0.65,0.65,1.0,1.0,GGK10.CVH+06,
[H86] 183,14.639583,-72.280556,7.65,44668359.2150963,0.0,0.0,0.0976,MC0094,C,0.55,0.55,1.0,0.0,CVH+06.PU99,
[H86] 185,14.730417,-72.82778,8.7,501187233.627272,0.0,0.0,0.0977,MC0094,C,0.35,0.35,2.0,0.0,CVH+06,
[H86] 185,14.730417,-72.82778,8.7,501187233.627272,0.0,0.0,0.0977,MC0115,C,0.35,0.35,2.0,0.0,CVH+06,
[H86] 186,14.981667,-72.37194,8.15,141253754.462276,0.0,0.0,0.1031,MC0094,C,0.6,0.6,1.0,1.0,GGK10.CVH+06,
NoName_21,14.102917,-73.33417,0.0,0.00,0.0,0.0,0.0782,MC0115,C,0.3,0.3,2.0,0.0,,
[H86] 189,15.13625,-72.23917,8.8,630957344.480194,0.0,0.0,0.075,MC0094,C,0.4,0.4,2.0,0.0,CVH+06,
[H86] 191,15.2425,-72.53972,8.3,199526231.496888,0.0,0.0,0.0968,MC0094,C,0.8,0.8,2.0,0.0,GGK10.CVH+06,
[H86] 193,15.324583,-72.22833,8.35,223872113.856834,0.0,0.0,0.0716,MC0094,C,0.55,0.55,2.0,0.0,GGK10.CVH+06,
[H86] 193,15.324583,-72.22833,8.35,223872113.856834,0.0,0.0,0.0716,MC0095,C,0.55,0.55,2.0,0.0,GGK10.CVH+06,
[H86] 194,15.30875,-72.55055,8.4,251188643.150958,0.0,0.0,0.0978,MC0094,C,0.85,0.85,1.0,1.0,CVH+06,
[H86] 196,17.105833,-71.83806,8.55,354813389.233576,0.0,0.0,0.0901,MC0095,C,0.65,0.65,2.0,0.0,GGK10,
[H86] 21,8.816667,-73.53083,0.0,0.00,0.0,0.0,0.0749,MC0114,C,0.7,0.5,1.0,1.0,,
OGLE-CL SMC  288,21.190416,-73.42333,0.0,0.00,0.0,0.0,0.0973,MC0116,C,0.45,0.45,0.0,0.0,,
OGLE-CL SMC  288,21.190416,-73.42333,0.0,0.00,0.0,0.0,0.0973,MC0117,C,0.45,0.45,0.0,0.0,,
[H86] 212,21.312082,-73.50166,0.0,0.00,0.0,0.0,0.0936,MC0116,C,0.6,0.55,3.0,3.0,,
[H86] 212,21.312082,-73.50166,0.0,0.00,0.0,0.0,0.0936,MC0117,C,0.6,0.55,0.0,0.0,,
[H86] 22,8.727083,-73.03555,0.0,0.00,0.0,0.0,0.088,MC0114,C,0.3,0.3,2.0,2.0,,
[H86] 24,8.858333,-73.40833,0.0,0.00,0.0,0.0,0.0834,MC0114,C,0.4,0.4,0.0,1.0,,
[H86] 25,8.866667,-73.47889,0.0,0.00,0.0,0.0,0.0806,MC0114,C,0.45,0.35,1.0,1.0,,
[H86] 30,9.058333,-73.4125,8.9,794328234.724282,0.0,0.0,0.0821,MC0114,C,0.35,0.35,2.0,0.0,CVH+06,
[H86] 33,9.075833,-73.05778,0.0,0.00,0.0,0.0,0.0869,MC0114,C,0.45,0.45,2.0,0.0,,
[H86] 35,9.161667,-73.08583,8.8,630957344.480194,0.0,0.0,0.0904,MC0114,C,0.35,0.35,1.0,1.0,CVH+06,
[H86] 40,9.45625,-73.4825,8.8,630957344.480194,0.0,0.0,0.0734,MC0114,C,0.45,0.35,0.0,0.0,CVH+06,
[H86] 41,9.382917,-72.96222,0.0,0.00,0.0,0.0,0.0811,MC0093,C,0.55,0.4,3.0,3.0,,
[H86] 41,9.382917,-72.96222,0.0,0.00,0.0,0.0,0.0811,MC0114,C,0.55,0.4,2.0,0.0,,
[H86] 42,9.420833,-73.12111,8.9,794328234.724282,0.0,0.0,0.083,MC0114,C,0.5,0.45,2.0,0.0,CVH+06,
[H86] 43,9.46375,-73.12111,8.88,758577575.029185,0.0,0.0,0.083,MC0114,C,0.55,0.55,2.0,0.0,GGK10.CVH+06,
[H86] 47,9.70375,-73.27556,9.0,1.000.000.000.00,0.0,0.0,0.0816,MC0114,C,0.3,0.3,2.0,2.0,CVH+06,
[H86] 48,9.731667,-73.40833,8.0,100.000.000.00,0.0,0.0,0.0756,MC0114,C,0.5,0.4,2.0,2.0,CVH+06,
[H86] 53,9.809167,-72.90278,8.75,562341325.190349,0.0,0.0,0.0841,MC0093,C,0.7,0.7,2.0,2.0,GGK10,
[H86] 53,9.809167,-72.90278,8.75,562341325.190349,0.0,0.0,0.0841,MC0114,C,0.7,0.7,2.0,2.0,GGK10,
[H86] 54,9.895417,-73.38306,8.5,316227766.016838,0.0,0.0,0.0792,MC0114,C,0.55,0.55,2.0,2.0,GGK10.CVH+06,
[H86] 55,9.858333,-73.10639,8.93,851138038.202376,0.0,0.0,0.0845,MC0114,C,0.45,0.35,2.0,0.0,GGK10.CVH+06,
[H86] 58,10.020833,-73.14278,8.9,794328234.724282,0.0,0.0,0.085,MC0114,C,0.6,0.6,1.0,1.0,GGK10,
[H86] 59,10.12125,-73.45861,8.0,100.000.000.00,0.0,0.0,0.0795,MC0114,C,0.5,0.45,0.0,2.0,CVH+06,
[H86] 60,10.186667,-73.1175,9.03,1071519305.2376,0.0,0.0,0.0913,MC0114,C,0.4,0.3,2.0,0.0,GGK10.CVH+06,
[H86] 62,10.2,-73.08806,8.6,398107170.553497,0.0,0.0,0.093,MC0114,C,0.6,0.6,0.0,0.0,GGK10,
[H86] 64,10.265417,-73.20417,0.0,0.00,0.0,0.0,0.0951,MC0114,C,0.2,0.2,2.0,2.0,,
[H86] 68,10.658333,-72.45583,9.77,5888436553.55588,0.0,0.0,0.0819,MC0093,C,1.1,1.1,0.0,0.0,GGK10.RZ05,
NoName_27,10.595,-73.08861,0.0,0.00,0.0,0.0,0.0969,MC0114,C,0.3,0.3,2.0,0.0,,
[H86] 74,11.30875,-73.219444,8.0,100.000.000.00,0.0,0.0,0.1342,MC0114,C,0.7,0.6,0.0,0.0,GGK10.CVH+06.PU99,
[H86] 77,11.4025,-72.295,0.0,0.00,0.0,0.0,0.0783,MC0093,C,0.45,0.35,3.0,3.0,,
[H86] 77,11.4025,-72.295,0.0,0.00,0.0,0.0,0.0783,MC0094,C,0.45,0.35,2.0,0.0,,
[H86] 79,11.495,-72.59611,8.7,501187233.627272,0.0,0.0,0.0792,MC0094,C,0.45,0.45,0.0,0.0,RZ05,
NoName_31,10.894583,-73.24139,0.0,0.00,0.0,0.0,0.1116,MC0114,C,0.4,0.35,2.0,2.0,,
NoName_32,11.636667,-72.6,0.0,0.00,0.0,0.0,0.0823,MC0094,C,0.3,0.25,2.0,2.0,,
[H86] 86,11.754167,-73.39306,8.05,112201845.430197,0.0,0.0,0.1124,MC0114,C,0.8,0.65,3.0,3.0,GGK10.CVH+06,
[H86] 86,11.754167,-73.39306,8.05,112201845.430197,0.0,0.0,0.1124,MC0115,C,0.8,0.65,1.0,1.0,GGK10.CVH+06,
[H86] 91,11.88375,-73.43361,0.0,0.00,0.0,0.0,0.1016,MC0114,C,0.4,0.4,3.0,3.0,,
[H86] 91,11.88375,-73.43361,0.0,0.00,0.0,0.0,0.1016,MC0115,C,0.4,0.4,0.0,0.0,,
[H86] 96,11.931667,-73.01278,0.0,0.00,0.0,0.0,0.1217,MC0115,C,0.3,0.3,2.0,0.0,,
HW10,9.129167,-72.98639,9.09,1230268770.81238,0.0,0.0,0.0839,MC0093,C,0.95,0.95,3.0,3.0,GGK10.RZ05,
HW10,9.129167,-72.98639,9.09,1230268770.81238,0.0,0.0,0.0839,MC0114,C,0.95,0.95,1.0,1.0,GGK10.RZ05,
HW11,9.380417,-73.6125,8.43,269153480.392691,0.0,0.0,0.0732,MC0114,C,1.3,1.3,0.0,0.0,GGK10.CVH+06.PU99.RZ05,
HW14,10.061667,-73.86972,8.75,562341325.190349,0.0,0.0,0.0865,MC0114,C,1.7,1.5,1.0,1.0,GGK10,
HW15,10.201667,-74.022224,8.9,794328234.724282,0.0,0.0,0.0912,MC0114,C,1.0,0.75,1.0,1.0,GGK10,
HW15,10.201667,-74.022224,8.9,794328234.724282,0.0,0.0,0.0912,MC0134,C,1.0,0.75,1.0,1.0,GGK10,
HW18,10.756667,-72.40833,0.0,0.00,0.0,0.0,0.0779,MC0093,C,1.0,1.0,2.0,0.0,,
HW19,10.8625,-74.18444,8.95,891250938.133744,0.0,0.0,0.082,MC0134,C,1.0,1.0,2.0,0.0,GGK10,
HW20,11.2,-74.36305,9.08,1202264434.61741,0.0,0.0,0.0877,MC0134,C,0.75,0.75,2.0,0.0,RZ05,
HW21,11.4125,-74.00861,0.0,0.00,0.0,0.0,0.0846,MC0114,C,0.45,0.4,2.0,0.0,,
HW21,11.4125,-74.00861,0.0,0.00,0.0,0.0,0.0846,MC0134,C,0.45,0.4,2.0,0.0,,
HW23,11.675833,-73.774445,0.0,0.00,0.0,0.0,0.0779,MC0114,C,0.55,0.45,2.0,2.0,,
HW23,11.675833,-73.774445,0.0,0.00,0.0,0.0,0.0779,MC0115,C,0.55,0.45,2.0,2.0,,
HW24,11.882083,-72.47444,9.58,3801893963.20561,0.0,0.0,0.0918,MC0094,C,1.7,1.7,2.0,0.0,GGK10.RZ05,
HW25,12.184583,-74.30278,8.65,446683592.150963,0.0,0.0,0.0849,MC0134,C,0.5,0.4,2.0,0.0,GGK10,
HW27,12.635,-74.61444,8.3,199526231.496888,0.0,0.0,0.0886,MC0134,C,0.65,0.65,1.0,1.0,GGK10,
HW27,12.635,-74.61444,8.3,199526231.496888,0.0,0.0,0.0886,MC0135,C,0.65,0.65,1.0,1.0,GGK10,
HW28,12.666667,-74.117226,0.0,0.00,0.0,0.0,0.083,MC0115,C,0.55,0.45,2.0,0.0,,
HW30,13.617083,-73.6175,8.85,707945784.384137,0.0,0.0,0.077,MC0115,C,0.55,0.45,2.0,0.0,GGK10,
HW34,14.466667,-73.54528,8.8,630957344.480194,0.0,0.0,0.0708,MC0115,C,1.0,1.0,2.0,2.0,GGK10,
HW35,14.675,-73.583885,8.25,177827941.003892,0.0,0.0,0.0666,MC0115,C,0.85,0.85,1.0,1.0,GGK10,
HW37,14.815833,-71.76778,8.05,112201845.430197,0.0,0.0,0.0888,MC0094,C,0.75,0.75,0.0,0.0,GGK10,
HW38,14.86,-73.81694,8.8,630957344.480194,0.0,0.0,0.0757,MC0115,C,0.8,0.8,2.0,0.0,GGK10,
HW39,14.8775,-71.66778,8.2,158489319.246111,0.0,0.0,0.0888,MC0094,C,0.75,0.75,0.0,0.0,GGK10,
HW43,15.284583,-71.754166,8.2,158489319.246111,0.0,0.0,0.0842,MC0094,C,0.8,0.8,0.0,0.0,GGK10,
HW46,15.998333,-73.699165,0.0,0.00,0.0,0.0,0.0719,MC0115,C,0.5,0.45,0.0,0.0,,
HW48,16.24375,-73.63695,8.4,251188643.150958,0.0,0.0,0.077,MC0115,C,0.65,0.65,0.0,0.0,GGK10,
HW48,16.24375,-73.63695,8.4,251188643.150958,0.0,0.0,0.077,MC0116,C,0.65,0.65,3.0,3.0,GGK10,
HW49,16.4875,-73.388885,0.0,0.00,0.0,0.0,0.0929,MC0115,C,0.4,0.4,3.0,3.0,,
HW49,16.4875,-73.388885,0.0,0.00,0.0,0.0,0.0929,MC0116,C,0.4,0.4,2.0,2.0,,
HW50,16.5125,-71.71139,8.45,281838293.126445,0.0,0.0,0.0808,MC0072,C,1.2,1.2,3.0,3.0,GGK10,
HW50,16.5125,-71.71139,8.45,281838293.126445,0.0,0.0,0.0808,MC0095,C,1.2,1.2,1.0,1.0,GGK10,
HW53,16.745417,-73.57806,8.85,707945784.384137,0.0,0.0,0.0869,MC0115,C,0.65,0.65,3.0,0.0,GGK10,
HW53,16.745417,-73.57806,8.85,707945784.384137,0.0,0.0,0.0869,MC0116,C,0.65,0.65,2.0,0.0,GGK10,
HW54,16.816668,-72.101944,0.0,0.00,0.0,0.0,0.0859,MC0095,C,0.5,0.4,1.0,1.0,,
HW57,16.937918,-71.8775,8.85,707945784.384137,0.0,0.0,0.105,MC0095,C,1.4,1.4,2.0,2.0,GGK10,
HW61,17.42625,-72.29528,8.3,199526231.496888,0.0,0.0,0.0867,MC0095,C,0.65,0.65,0.0,0.0,GGK10,
HW64,17.688334,-71.33861,8.25,177827941.003892,0.0,0.0,0.0515,MC0072,C,0.9,0.9,0.0,0.0,GGK10,
HW65,17.99375,-72.271385,8.9,794328234.724282,0.0,0.0,0.0993,MC0095,C,0.7,0.7,2.0,0.0,RZ05,
HW68,18.467916,-73.416115,8.9,794328234.724282,0.0,0.0,0.1242,MC0116,C,0.55,0.55,2.0,2.0,GGK10,
HW70,18.73125,-72.20583,8.4,251188643.150958,0.0,0.0,0.0814,MC0095,C,0.65,0.55,0.0,0.0,GGK10,
NAME HW 71NW,18.871668,-72.37639,0.0,0.00,0.0,0.0,0.0792,MC0095,C,0.3,0.3,2.0,0.0,,
[RZ2005] 199,18.884167,-72.37889,7.18,15135612.4843621,0.0,0.0,0.0792,MC0095,C,0.65,0.55,1.0,1.0,GGK10.RZ05,
OGLE-CL SMC  339,19.105417,-71.32694,8.3,199526231.496888,0.0,0.0,0.0575,MC0073,C,1.0,0.9,0.0,0.0,GGK10.PdGR+15,
HW74,19.2,-73.16,8.8,630957344.480194,0.0,0.0,0.1437,MC0116,C,0.55,0.5,2.0,0.0,GGK10.PdGR+15,
HW77,20.045834,-72.62194,9.15,1412537544.62276,0.0,0.0,0.0701,MC0095,C,1.4,1.2,3.0,3.0,PdGR+15,
HW77,20.045834,-72.62194,9.15,1412537544.62276,0.0,0.0,0.0701,MC0096,C,1.4,1.2,2.0,0.0,PdGR+15,
HW78,20.33625,-73.094444,0.0,0.00,0.0,0.0,0.1095,MC0116,C,0.45,0.35,0.0,0.0,,
OGLE-CL SMC  290,21.115417,-73.17111,7.8,63095734.4480193,0.0,0.0,0.1173,MC0116,C,0.8,0.6,0.0,0.0,PdGR+15,
